Brand,Product,Product Type,Price,Rating,Image URL
KYLIE COSMETICS,Blush,Blush,18.00 ,3.8 ,"https://images.ulta.com/is/image/Ulta/2543053?id=MJ3bB1&fmt=jpg&fit=constrain,1&wid=260&hei=301&op_sharpen=1&resMode=bilin"
NARS,Blush,Blush,30.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2503561?id=Jixaa0&fmt=jpg&fit=constrain,1&wid=260&hei=210&op_sharpen=1&resMode=bilin"
Tarte,Amazonian Clay 12 Hour Blush,Blush,29.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2230172?id=hASa31&fmt=jpg&fit=constrain,1&wid=260&hei=343&op_sharpen=1&resMode=bilin"
Smashbox,Halo Cheek Palette,Blush,35.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2569811?id=_EHaS2&fmt=jpg&fit=constrain,1&wid=260&hei=313&op_sharpen=1&resMode=bilin"
Milani,Baked Blush,Blush,9.49 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2519994?id=fMcaP0&fmt=jpg&fit=constrain,1&wid=260&hei=260&op_sharpen=1&resMode=bilin"
MAC,Powder Blush,Blush,25.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2510849?id=gylao2&fmt=jpg&fit=constrain,1&wid=260&hei=278&op_sharpen=1&resMode=bilin"
NARS,The Multiple,Blush,39.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2503578?id=nT6ab1&fmt=jpg&fit=constrain,1&wid=158&hei=359&op_sharpen=1&resMode=bilin"
Morphe,8F Fair Play Complexion Pro Face Palette,Blush,24.00 ,3.4 ,"https://images.ulta.com/is/image/Ulta/2567625?id=lQWas3&fmt=jpg&fit=constrain,1&wid=260&hei=189&op_sharpen=1&resMode=bilin"
Benefit Cosmetics,Lip & Cheek Stain and Tint,Blush,18.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2547728?id=6ftbw0&fmt=jpg&fit=constrain,1&wid=260&hei=355&op_sharpen=1&resMode=bilin"
Buxom,Wanderlust Primer Infused Blush,Blush,23.00 ,4.8 ,"https://images.ulta.com/is/image/Ulta/2537666?id=3gPaN2&fmt=jpg&fit=constrain,1&wid=260&hei=235&op_sharpen=1&resMode=bilin"
HOURGLASS,Ambient Lighting Blush,Blush,40.00 ,4.8 ,"https://images.ulta.com/is/image/Ulta/2572717?id=dyMaf2&fmt=jpg&fit=constrain,1&wid=260&hei=269&op_sharpen=1&resMode=bilin"
ULTA,Mineral Blush,Blush,12.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2287993?id=UbYa-2&fmt=jpg&fit=constrain,1&wid=260&hei=259&op_sharpen=1&resMode=bilin"
bareMinerals,Blush,Blush,23.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2093954?id=-BHaR3&fmt=jpg&fit=constrain,1&wid=260&hei=271&op_sharpen=1&resMode=bilin"
