Brand,Product,Product Type,Price,Rating,Image URL
Urban Decay Cosmetics,Naked Honey Eyeshadow Palette,Eyeshadow,Price$49.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2552755?id=q4sbp2&fmt=jpg&fit=constrain,1&wid=260&hei=90&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Naked Cherry Eyeshadow Palette,Eyeshadow,Price$49.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2536752?id=KyDab0&fmt=jpg&fit=constrain,1&wid=260&hei=103&op_sharpen=1&resMode=bilin"
Morphe,The James Charles Palette,Eyeshadow,Price$39.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2539520?id=AuIa23&fmt=jpg&fit=constrain,1&wid=260&hei=155&op_sharpen=1&resMode=bilin"
Morphe,Morphe X Jaclyn Hill Palette Volume II,Eyeshadow,Price$39.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2551398?id=JGnaX2&fmt=jpg&fit=constrain,1&wid=260&hei=178&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Naked Reloaded Eyeshadow Palette,Eyeshadow,Price$44.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2541989?id=8lmbO0&fmt=jpg&fit=constrain,1&wid=260&hei=85&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Naked Heat Eyeshadow Palette,Eyeshadow,Price$54.00,4.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2512332?id=IL4bI3&fmt=jpg&fit=constrain,1&wid=260&hei=87&op_sharpen=1&resMode=bilin"
Anastasia Beverly Hills,Eye Collection Palette Vault,Eyeshadow,Sale Price$32.50,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2573312?id=wPkak3&fmt=jpg&fit=constrain,1&wid=260&hei=130&op_sharpen=1&resMode=bilin"
Too Faced,Chocolate Gold Metallic/Matte Eyeshadow Palette,Eyeshadow,Price$49.00,4.8 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2520075?id=WnOa91&fmt=jpg&fit=constrain,1&wid=260&hei=120&op_sharpen=1&resMode=bilin"
Morphe,Whoa La La Lip & Eye Set + Bag,Eyeshadow,Sale Price$7.50,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2572114?id=BNYac3&fmt=jpg&fit=constrain,1&wid=260&hei=156&op_sharpen=1&resMode=bilin"
Tarte,Tartelette 2 In Bloom Clay Eyeshadow Palette,Eyeshadow,Price$39.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2293234?id=oGkam2&fmt=jpg&fit=constrain,1&wid=260&hei=189&op_sharpen=1&resMode=bilin"
Morphe,35C Everyday Chic Artistry Palette,Eyeshadow,Price$25.00,4.1 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2569041?id=qo8bu2&fmt=jpg&fit=constrain,1&wid=260&hei=156&op_sharpen=1&resMode=bilin"
Morphe,Morphe X Nikita Artistry Palette,Eyeshadow,Price$30.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2572292?id=9CTaX1&fmt=jpg&fit=constrain,1&wid=260&hei=168&op_sharpen=1&resMode=bilin"
Morphe,39S Such A Gem Artistry Palette,Eyeshadow,Price$35.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2554683?id=OApb10&fmt=jpg&fit=constrain,1&wid=260&hei=158&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Stoned Vibes Eyeshadow Palette,Eyeshadow,Price$54.00,4.4 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2568959?id=qnfbK1&fmt=jpg&fit=constrain,1&wid=260&hei=154&op_sharpen=1&resMode=bilin"
Morphe,35O Nature Glow Eyeshadow Palette,Eyeshadow,Price$25.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2519443?id=YESaa0&fmt=jpg&fit=constrain,1&wid=260&hei=154&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Naked2 Basics Eyeshadow Palette,Eyeshadow,Price$29.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2278485?id=O4DaY0&fmt=jpg&fit=constrain,1&wid=260&hei=127&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Naked3 Eyeshadow Palette,Eyeshadow,Price$54.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2266731?id=Um_aL0&fmt=jpg&fit=constrain,1&wid=260&hei=84&op_sharpen=1&resMode=bilin"
ULTA,Sunset Skies Eyeshadow Palette,Eyeshadow,Price$20.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2543506?id=15vbn2&fmt=jpg&fit=constrain,1&wid=260&hei=269&op_sharpen=1&resMode=bilin"
Too Faced,Born This Way The Natural Nudes Eye Shadow Palette,Eyeshadow,Price$48.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2560720?id=YKfbV3&fmt=jpg&fit=constrain,1&wid=260&hei=116&op_sharpen=1&resMode=bilin"
Morphe,Madison Beer Channel Surfing Artistry Palette,Eyeshadow,Price$22.00,3.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571720?id=IDGbj0&fmt=jpg&fit=constrain,1&wid=260&hei=226&op_sharpen=1&resMode=bilin"
