Brand,Product,Product Type,Price,Rating,Image URL
Tarte,Amazonian Clay Full Coverage Foundation SPF 15,Foundation,39.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2282442?id=dQJaM0&fmt=jpg&fit=constrain,1&wid=176&hei=360&op_sharpen=1&resMode=bilin"
Tarte,Face Tape Foundation,Foundation,27.30 ,3.6 ,"https://images.ulta.com/is/image/Ulta/2540271?id=FVLa83&fmt=jpg&fit=constrain,1&wid=97&hei=362&op_sharpen=1&resMode=bilin"
Estée Lauder,Double Wear Stay-in-Place Makeup,Foundation,43.00 ,4.7 ,"https://images.ulta.com/is/image/Ulta/2532782?id=yFwaQ1&fmt=jpg&fit=constrain,1&wid=157&hei=361&op_sharpen=1&resMode=bilin"
Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Foundation,47.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2538369?id=esIb23&fmt=jpg&fit=constrain,1&wid=85&hei=362&op_sharpen=1&resMode=bilin"
It Cosmetics,CC+ Cream with SPF 50+,Foundation,39.50 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2264063?id=KKzaz0&fmt=jpg&fit=constrain,1&wid=139&hei=359&op_sharpen=1&resMode=bilin"
Too Faced,Born This Way Undetectable Medium-to-Full Coverage Foundation,Foundation,40.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2290021?id=lnhar3&fmt=jpg&fit=constrain,1&wid=129&hei=360&op_sharpen=1&resMode=bilin"
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,Foundation,32.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/5081179?id=zcwaG1&fmt=jpg&fit=constrain,1&wid=260&hei=269&op_sharpen=1&resMode=bilin"
MAC,Studio Fix Powder Plus Foundation,Foundation,33.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2510754?id=yeQaS2&fmt=jpg&fit=constrain,1&wid=260&hei=278&op_sharpen=1&resMode=bilin"
Tarte,Babassu Foundcealer Skincare Foundation Broad Spectrum SPF 20,Foundation,39.00 ,3.9 ,"https://images.ulta.com/is/image/Ulta/2542892?id=wHaba0&fmt=jpg&fit=constrain,1&wid=95&hei=359&op_sharpen=1&resMode=bilin"
MAC,Studio Fix Fluid SPF 15 Foundation,Foundation,33.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2511116?id=Y-PaH2&fmt=jpg&fit=constrain,1&wid=133&hei=360&op_sharpen=1&resMode=bilin"
bareMinerals,BAREPRO Performance Wear Powder Foundation,Foundation,33.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2306184?id=z9iai1&fmt=jpg&fit=constrain,1&wid=260&hei=302&op_sharpen=1&resMode=bilin"
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Foundation,35.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2511395?id=XqMaA1&fmt=jpg&fit=constrain,1&wid=99&hei=362&op_sharpen=1&resMode=bilin"
NARS,Natural Radiant Longwear Foundation,Foundation,49.00 ,4.1 ,"https://images.ulta.com/is/image/Ulta/2523148?id=9QKaZ0&fmt=jpg&fit=constrain,1&wid=82&hei=360&op_sharpen=1&resMode=bilin"
It Cosmetics,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,Foundation,39.50 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2523624?id=IEuag0&fmt=jpg&fit=constrain,1&wid=99&hei=362&op_sharpen=1&resMode=bilin"
Clinique,Even Better Makeup Broad Spectrum SPF 15,Foundation,31.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2206255?id=OjTaj3&fmt=jpg&fit=constrain,1&wid=152&hei=359&op_sharpen=1&resMode=bilin"
Tarte,Double Duty Beauty Shape Tape Pressed Powder,Foundation,22.40 ,3.8 ,"https://images.ulta.com/is/image/Ulta/2538353?id=Leqai2&fmt=jpg&fit=constrain,1&wid=260&hei=269&op_sharpen=1&resMode=bilin"
bareMinerals,Matte Foundation Broad Spectrum SPF 15,Foundation,32.00 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2209441?id=j_waf0&fmt=jpg&fit=constrain,1&wid=260&hei=269&op_sharpen=1&resMode=bilin"
It Cosmetics,CC+ Cream Illumination SPF 50+,Foundation,39.50 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2287680?id=Zguae2&fmt=jpg&fit=constrain,1&wid=141&hei=360&op_sharpen=1&resMode=bilin"
Clinique,Beyond Perfecting Foundation + Concealer,Foundation,31.00 ,4.2 ,"https://images.ulta.com/is/image/Ulta/2282753?id=apAaI1&fmt=jpg&fit=constrain,1&wid=189&hei=360&op_sharpen=1&resMode=bilin"
It Cosmetics,Your Skin But Better Foundation + Skincare,Foundation,39.50 ,4.5 ,"https://images.ulta.com/is/image/Ulta/2568662?id=Sflbm0&fmt=jpg&fit=constrain,1&wid=174&hei=361&op_sharpen=1&resMode=bilin"
Urban Decay Cosmetics,Stay Naked Weightless Liquid Foundation,Foundation,39.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2549456?id=TGqaH3&fmt=jpg&fit=constrain,1&wid=93&hei=361&op_sharpen=1&resMode=bilin"
Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,Foundation,50.00 ,4.3 ,"https://images.ulta.com/is/image/Ulta/2561704?id=v2qb-0&fmt=jpg&fit=constrain,1&wid=172&hei=360&op_sharpen=1&resMode=bilin"
Dermablend,Flawless Creator Liquid Foundation Drops,Foundation,40.00 ,4.0 ,"https://images.ulta.com/is/image/Ulta/2515173?id=zBdbP1&fmt=jpg&fit=constrain,1&wid=220&hei=361&op_sharpen=1&resMode=bilin"
Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,Foundation,41.00 ,4.6 ,"https://images.ulta.com/is/image/Ulta/2271136?id=Caka61&fmt=jpg&fit=constrain,1&wid=260&hei=282&op_sharpen=1&resMode=bilin"
