Brand,Product,Product Type,Price,Rating,Image URL
Stila,Stay All Day Liquid Lipstick,Lipstick,Price$22.00,4.3 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2253751?id=uCQaH0&fmt=jpg&fit=constrain,1&wid=49&hei=357&op_sharpen=1&resMode=bilin"
KYLIE COSMETICS,Crème Lipstick,Lipstick,Sale Price$8.00,4.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2538992?id=zB0bd2&fmt=jpg&fit=constrain,1&wid=79&hei=361&op_sharpen=1&resMode=bilin"
MAC,Lipstick Matte,Lipstick,Price$19.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2511153?id=VqPaq2&fmt=jpg&fit=constrain,1&wid=91&hei=360&op_sharpen=1&resMode=bilin"
KYLIE COSMETICS,Matte Lipstick,Lipstick,Sale Price$8.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2538978?id=7NDa23&fmt=jpg&fit=constrain,1&wid=81&hei=360&op_sharpen=1&resMode=bilin"
KYLIE COSMETICS,Velvet Liquid Lipstick,Lipstick,Price$16.00,3.9 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2537021?id=rgGaT0&fmt=jpg&fit=constrain,1&wid=124&hei=361&op_sharpen=1&resMode=bilin"
MAC,Lipstick Cream,Lipstick,Price$19.00,4.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2510479?id=IkJat3&fmt=jpg&fit=constrain,1&wid=92&hei=361&op_sharpen=1&resMode=bilin"
MAC,Powder Kiss Liquid Lipcolour,Lipstick,Price$24.00,4.5 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2563828?id=cZUav1&fmt=jpg&fit=constrain,1&wid=133&hei=361&op_sharpen=1&resMode=bilin"
KYLIE COSMETICS,Mini Bare Matte Lip Kit,Lipstick,Price$12.00,3.6 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2565587?id=Kstba1&fmt=jpg&fit=constrain,1&wid=232&hei=361&op_sharpen=1&resMode=bilin"
KVD Vegan Beauty,Legendary Icons Bestsellers Set,Lipstick,Sale Price$24.00,3.0 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2571824?id=4qVal3&fmt=jpg&fit=constrain,1&wid=260&hei=206&op_sharpen=1&resMode=bilin"
KVD Vegan Beauty,Studded Kiss Crème Lipstick - Lolita Collection,Lipstick,Price$20.00,4.7 out of 5 stars,"https://images.ulta.com/is/image/Ulta/2570658?id=HFSa-0&fmt=jpg&fit=constrain,1&wid=260&hei=353&op_sharpen=1&resMode=bilin"
